country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Cabo Verde;62114.0;410.0;59988.0;16.5388;-23.0418;561901.0;1716.0;0.11054260448014863;0.0007296659020005304;0.10675901982733613;0.0030539187508119756
Cambodia;136631.0;3056.0;131590.0;11.55;104.9167;16946446.0;1985.0;0.008062516471005188;0.00018033279662296153;0.007765049969769473;0.0001171337046127548
Cameroon;120215.0;1931.0;70825.0;3.848;11.5021;27224262.0;47459.0;0.004415730351111079;7.092937909574923e-05;0.0026015397589106365;0.0017432612131046933
Canada;4074977.0;42777.0;0.0;47.257039999999996;-80.17319333333333;38246108.0;4032200.0;0.10654618765391763;0.0011184667469955375;0.0;0.10542772090692208
Central African Republic;14712.0;113.0;14030.0;6.6111;20.9394;4919987.0;569.0;0.002990251803510863;2.2967540361387135e-05;0.0028516335510642607;0.00011565071208521486
Chad;7432.0;193.0;7112.0;15.4542;18.7322;16914985.0;127.0;0.0004393737269054628;1.1410001250370603e-05;0.00042045559011728357;7.508135537808635e-06
Chile;4204824.0;59405.0;3953219.0;-35.6751;-71.543;19212362.0;192200.0;0.21886033586083795;0.003092019606959311;0.20576434068856292;0.010003975565315707
China;2240160.0;14720.0;2061674.0;32.887645454545456;111.78599090909091;1412360000.0;163766.0;0.001586111189781642;1.0422271941997791e-05;0.001459736894276247;0.00011595202356339744
Colombia;6247634.0;140603.0;6017314.0;4.5709;-74.2973;51265841.0;89717.0;0.12186738534144012;0.002742625445274564;0.11737472520932603;0.0017500346868395272
Comoros;8301.0;160.0;7838.0;-11.6455;43.3333;888456.0;303.0;0.0093431751262865;0.00018008770271122037;0.008822046336565907;0.00034104108700937355
Costa Rica;1028375.0;8690.0;812165.0;9.7489;-83.7534;5139053.0;207520.0;0.2001098256818912;0.0016909730255749455;0.15803787195812147;0.040380980698194784
Cote d'Ivoire;85055.0;810.0;82407.0;7.54;-5.5471;27053629.0;1838.0;0.003143940504248062;2.994053034437635e-05;0.003046060844554348;6.793912934933794e-05
Croatia;1180857.0;16265.0;1112047.0;45.1;15.2;3899000.0;52545.0;0.3028615029494742;0.004171582457040267;0.2852133880482175;0.013476532444216465
Cuba;1107708.0;8529.0;1103054.0;21.521757;-77.781167;11317498.0;0.0;0.09787569655413238;0.0007536117965295863;0.09746447492193062;0.0
Cyprus;556048.0;1099.0;463421.0;35.1264;33.4299;1215588.0;91528.0;0.4574313007367628;0.0009040892144377865;0.38123196346130434;0.07529524806102067
Denmark;3273346.0;6672.0;3094150.0;63.287800000000004;-13.338100000000003;5856733.0;172524.0;0.5589030608019864;0.0011392016675508343;0.5283064807632515;0.029457378371184072
Djibouti;15690.0;189.0;15310.0;11.8251;42.5903;1002197.0;191.0;0.01565560463661336;0.0001885856772670443;0.015276437666446816;0.0001905812928994998
Dominica;14852.0;68.0;14051.0;15.415;-61.371;72172.0;733.0;0.20578617746494485;0.000942193648506346;0.19468769051709806;0.010156293299340464
Dominican Republic;626611.0;4383.0;591393.0;18.7357;-70.1627;10953714.0;30835.0;0.05720534605888012;0.00040013825447697467;0.05399018086468206;0.0028150269397210844
Ecuador;955583.0;35793.0;864439.0;-1.8312;-78.1834;17888474.0;55351.0;0.0534189221506541;0.00200089733758173;0.04832379777056444;0.00309422704250793
El Salvador;190818.0;4192.0;166615.0;13.7942;-88.8965;6518500.0;20011.0;0.029273299071872365;0.0006430927360589093;0.025560328296387207;0.0030698780394262486
Equatorial Guinea;16708.0;183.0;15983.0;1.6508;10.2679;1449891.0;542.0;0.011523624879387484;0.0001262163845420104;0.01102358729035493;0.00037382120449054444
Estonia;586399.0;2620.0;557886.0;58.5953;25.0136;1329254.0;25893.0;0.44114894519783276;0.0019710303674090883;0.41969856776808645;0.01947934706233722
Eswatini;73267.0;1417.0;69253.0;-26.5225;31.4659;1172369.0;2597.0;0.062494828846549166;0.0012086638251267306;0.05907099215349434;0.002215172867928101
Ethiopia;491979.0;7568.0;462758.0;9.145;40.4897;117876226.0;21653.0;0.004173691478721078;6.420293774929645e-05;0.003925795859802976;0.00018369268116880498
Fiji;67356.0;870.0;51645.0;-17.7134;178.065;902899.0;14841.0;0.07459970605793118;0.0009635629234277588;0.057199088713134026;0.01643705442136939
Finland;1171034.0;5012.0;1056315.0;61.92411;25.748151;5541696.0;109707.0;0.21131328748455347;0.0009044162653454827;0.19061222412777604;0.019796647091431935
France;33899625.0;152822.0;25858518.0;6.425299583333332;-9.839634499999999;67499343.0;7888285.0;0.5022215549564683;0.002264051666399183;0.38309288432629635;0.11686461896377273
Gabon;48417.0;306.0;46902.0;-0.8037;11.6094;2278829.0;1209.0;0.021246438412008975;0.00013427949179161753;0.02058162328107989;0.0005305356391374692
Georgia;1686218.0;16859.0;1581375.0;42.3154;43.3569;3708610.0;87984.0;0.4546765499742491;0.004545908035625207;0.42640638945588777;0.02372425248273612
Germany;30702511.0;143702.0;28247498.0;51.165691;10.451526;83129285.0;2311311.0;0.3693344770137263;0.00172865675435558;0.3398020084017323;0.027803811857638375
Ghana;167215.0;1456.0;160766.0;7.9465;-1.0232;31732128.0;4993.0;0.005269580407591953;4.5884095765654294e-05;0.005066347898256303;0.0001573484135699944
Greece;4349423.0;30999.0;3274639.0;39.0742;21.8243;10664568.0;1043785.0;0.4078386485040932;0.002906728148763269;0.3070578198760606;0.0978741004792693
Grenada;18768.0;234.0;17494.0;12.1165;-61.679;113015.0;1040.0;0.1660664513560147;0.002070521612175375;0.1547936114675043;0.009202318276335
Guatemala;1027805.0;18972.0;923695.0;15.7835;-90.2308;17109746.0;85138.0;0.06007131841700046;0.0011088417092807808;0.05398648232416776;0.004975994383551924
Guinea;37358.0;445.0;35944.0;9.9456;-9.6966;13497237.0;969.0;0.002767825740927569;3.296971076376595e-05;0.0026630635588602318;7.179247130357124e-05
Guinea-Bissau;8412.0;172.0;7912.0;11.8037;-15.1804;2015490.0;328.0;0.004173674887992498;8.533904906499164e-05;0.003925596256989615;0.00016273958193789104
Guyana;69620.0;1271.0;66029.0;4.860416;-58.93018;790329.0;2320.0;0.08808989673920607;0.0016081910191831502;0.08354621935927949;0.002935486360743437
Haiti;32223.0;838.0;24406.0;18.9712;-72.2852;11541683.0;6979.0;0.002791880525569798;7.260639544510102e-05;0.0021145962854810687;0.0006046778446436278
Honduras;438050.0;10932.0;236301.0;15.2;-86.2419;10062994.0;190817.0;0.0435307821906681;0.0010863566052011955;0.023482176378123647;0.01896224920734326
Hungary;1965481.0;46790.0;1808151.0;47.1625;19.5033;9709886.0;110540.0;0.20242060514407687;0.004818800138333241;0.18621753128718505;0.011384273718558591
